id	url	distrito	barrio	price (€)	bedrooms	area (m2)	floor	lift	street type	street	street_number
102476847	https://www.idealista.com/inmueble/102476847/	pla-del-bon-repos-la-goleta-san-anton	pla-del-bon-repos-la-goteta	220000	3	110	0	yes			
103016676	https://www.idealista.com/inmueble/103016676/	pla-del-bon-repos-la-goleta-san-anton	pla-del-bon-repos-la-goteta	121000	2	69		yes			
97473859	https://www.idealista.com/inmueble/97473859/	pla-del-bon-repos-la-goleta-san-anton	pla-del-bon-repos-la-goteta	91000	2	72	5	no			
99961118	https://www.idealista.com/inmueble/99961118/	pla-del-bon-repos-la-goleta-san-anton	pla-del-bon-repos-la-goteta	220000	3	108	0	no	calle	 doctor sapena	
99766420	https://www.idealista.com/inmueble/99766420/	pla-del-bon-repos-la-goleta-san-anton	pla-del-bon-repos-la-goteta	157000	5	46		yes			
99479241	https://www.idealista.com/inmueble/99479241/	pla-del-bon-repos-la-goleta-san-anton	pla-del-bon-repos-la-goteta	215000	3	111	2	no	calle	 antonio maura	
101117382	https://www.idealista.com/inmueble/101117382/	pla-del-bon-repos-la-goleta-san-anton	pla-del-bon-repos-la-goteta	168000	4	90	4	no	calle	 general elizaicin s/n	s/n
102991567	https://www.idealista.com/inmueble/102991567/	pla-del-bon-repos-la-goleta-san-anton	pla-del-bon-repos-la-goteta	148000	4	83	2	yes	calle	 rio seco	
103327809	https://www.idealista.com/inmueble/103327809/	pla-del-bon-repos-la-goleta-san-anton	pla-del-bon-repos-la-goteta	156000	4	119	3	no	calle	 barcelona	
102481066	https://www.idealista.com/inmueble/102481066/	pla-del-bon-repos-la-goleta-san-anton	pla-del-bon-repos-la-goteta	220000	3	130					
102214248	https://www.idealista.com/inmueble/102214248/	pla-del-bon-repos-la-goleta-san-anton	pla-del-bon-repos-la-goteta	119900	1	49	0	no			
102787865	https://www.idealista.com/inmueble/102787865/	pla-del-bon-repos-la-goleta-san-anton	pla-del-bon-repos-la-goteta	185000	3	119	1	yes			
102499722	https://www.idealista.com/inmueble/102499722/	pla-del-bon-repos-la-goleta-san-anton	pla-del-bon-repos-la-goteta	180000	4	105	3	yes	avenida	 del padre espla	
103213121	https://www.idealista.com/inmueble/103213121/	pla-del-bon-repos-la-goleta-san-anton	pla-del-bon-repos-la-goteta	88000	2	58	4	no	calle	 béjar	4
103093651	https://www.idealista.com/inmueble/103093651/	pla-del-bon-repos-la-goleta-san-anton	pla-del-bon-repos-la-goteta	155000	3	119	2	no			
102884834	https://www.idealista.com/inmueble/102884834/	pla-del-bon-repos-la-goleta-san-anton	pla-del-bon-repos-la-goteta	225000	3	111	2	no			
95106267	https://www.idealista.com/inmueble/95106267/	pla-del-bon-repos-la-goleta-san-anton	pla-del-bon-repos-la-goteta	198000	3	115	2	yes	calle	 del doctor ayela	
96044431	https://www.idealista.com/inmueble/96044431/	pla-del-bon-repos-la-goleta-san-anton	pla-del-bon-repos-la-goteta	185000	4	127	2	yes			
103043998	https://www.idealista.com/inmueble/103043998/	pla-del-bon-repos-la-goleta-san-anton	pla-del-bon-repos-la-goteta	92000	2	72	4	no			1
102059733	https://www.idealista.com/inmueble/102059733/	pla-del-bon-repos-la-goleta-san-anton	pla-del-bon-repos-la-goteta	94500	3	66	2	no	calle	 del arquitecto vidal	
102867389	https://www.idealista.com/inmueble/102867389/	pla-del-bon-repos-la-goleta-san-anton	pla-del-bon-repos-la-goteta	183000	3	127	7	yes	avenida	 periodista rodolfo de salazar	
103373654	https://www.idealista.com/inmueble/103373654/	pla-del-bon-repos-la-goleta-san-anton	pla-del-bon-repos-la-goteta	145000	3	80	2	yes	calle	 fiscal miguel gutiérrez carbonell	
102118488	https://www.idealista.com/inmueble/102118488/	pla-del-bon-repos-la-goleta-san-anton	pla-del-bon-repos-la-goteta	75000	3	83	2	no	calle	 inmaculada del pla	
102970526	https://www.idealista.com/inmueble/102970526/	pla-del-bon-repos-la-goleta-san-anton	pla-del-bon-repos-la-goteta	157000	4	110	2	no	calle	 barcelona	
103389309	https://www.idealista.com/inmueble/103389309/	pla-del-bon-repos-la-goleta-san-anton	pla-del-bon-repos-la-goteta	135000	3	90	5	yes			
103052424	https://www.idealista.com/inmueble/103052424/	pla-del-bon-repos-la-goleta-san-anton	pla-del-bon-repos-la-goteta	195000	3	105	12	yes	avenida	 del padre espla	25
